ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1416296522.4237,template1,0,0,0,0,0,0,0,0,0,0
1416296522.4237,template0,0,0,0,0,0,0,0,0,0,0
1416296522.4237,postgres,0,6729,30,58708,210446,2239532,85790,0,0,0
1416296522.4237,dbt3,4,114542,39,7143000917,12849939046,252333928603,79904916425,2366011602,14507,22608106
1416296582.42516,template1,0,0,0,0,0,0,0,0,0,0
1416296582.42516,template0,0,0,0,0,0,0,0,0,0,0
1416296582.42516,postgres,0,6731,30,58708,210501,2240194,85801,0,0,0
1416296582.42516,dbt3,4,114580,39,7143758875,12853064480,252340498347,79909348432,2366086222,14510,22608106
1416296642.42764,template1,0,0,0,0,0,0,0,0,0,0
1416296642.42764,template0,0,0,0,0,0,0,0,0,0,0
1416296642.42764,postgres,0,6733,30,58708,210556,2240856,85812,0,0,0
1416296642.42764,dbt3,4,114612,39,7144731734,12883002155,252420329673,79927127154,2366086223,14511,22608106
1416296702.42873,template1,0,0,0,0,0,0,0,0,0,0
1416296702.42873,template0,0,0,0,0,0,0,0,0,0,0
1416296702.42873,postgres,0,6735,30,58723,210596,2241518,85823,0,0,0
1416296702.42873,dbt3,4,114648,39,7145897366,12886032457,252432336108,79939027261,2366086226,14514,22608106
1416296762.43234,template1,0,0,0,0,0,0,0,0,0,0
1416296762.43234,template0,0,0,0,0,0,0,0,0,0,0
1416296762.43234,postgres,0,6737,30,58741,210633,2242180,85834,0,0,0
1416296762.43234,dbt3,6,114684,39,7146774337,12888585749,252574276402,79944354560,2366086228,14516,22608106
1416296822.43421,template1,0,0,0,0,0,0,0,0,0,0
1416296822.43421,template0,0,0,0,0,0,0,0,0,0,0
1416296822.43421,postgres,0,6739,30,58756,210673,2242842,85845,0,0,0
1416296822.43421,dbt3,4,114710,39,7148142975,12898824119,252697156626,79947136810,2366086229,14517,22608106
1416296882.43683,template1,0,0,0,0,0,0,0,0,0,0
1416296882.43683,template0,0,0,0,0,0,0,0,0,0,0
1416296882.43683,postgres,0,6741,30,58756,210728,2243504,85856,0,0,0
1416296882.43683,dbt3,3,114737,39,7148152148,12899110975,252713681506,79947140077,2366086230,14518,22608106
1416296942.43952,template1,0,0,0,0,0,0,0,0,0,0
1416296942.43952,template0,0,0,0,0,0,0,0,0,0,0
1416296942.43952,postgres,0,6743,30,58774,210765,2244166,85867,0,0,0
1416296942.43952,dbt3,3,114777,39,7148883680,12900283693,252812962050,79948338300,2366086233,14521,22608106
1416297002.44491,template1,0,0,0,0,0,0,0,0,0,0
1416297002.44491,template0,0,0,0,0,0,0,0,0,0,0
1416297002.44491,postgres,0,6745,30,58774,210820,2244828,85878,0,0,0
1416297002.44491,dbt3,6,114820,39,7150768483,12901886107,252856680785,79992050314,2366086251,14525,22608121
1416297062.44748,template1,0,0,0,0,0,0,0,0,0,0
1416297062.44748,template0,0,0,0,0,0,0,0,0,0,0
1416297062.44748,postgres,0,6747,30,58789,210860,2245490,85889,0,0,0
1416297062.44748,dbt3,6,114848,39,7151150551,12902577833,252916736376,79992053615,2366086252,14526,22608121
1416297122.44758,template1,0,0,0,0,0,0,0,0,0,0
1416297122.44758,template0,0,0,0,0,0,0,0,0,0,0
1416297122.44758,postgres,0,6749,30,58804,210900,2246152,85900,0,0,0
1416297122.44758,dbt3,3,114885,39,7153025318,12903737797,252997029603,80010081822,2366086255,14529,22608121
1416297182.45019,template1,0,0,0,0,0,0,0,0,0,0
1416297182.45019,template0,0,0,0,0,0,0,0,0,0,0
1416297182.45019,postgres,0,6751,30,58822,210937,2246814,85911,0,0,0
1416297182.45019,dbt3,5,114921,39,7155451417,12904101817,253052736270,80035651809,2366086257,14531,22608121
