# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
axle;60;1416296581;-1;6.32;0.00;6.23;0.13;0.00;87.32
axle;60;1416296581;0;5.21;0.00;17.63;0.02;0.00;77.14
axle;60;1416296581;1;11.71;0.00;16.19;0.37;0.00;71.73
axle;60;1416296581;2;1.79;0.00;2.87;0.00;0.00;95.34
axle;60;1416296581;3;0.94;0.00;2.85;0.00;0.00;96.22
axle;60;1416296581;4;1.49;0.00;2.54;0.02;0.00;95.96
axle;60;1416296581;5;0.75;0.00;2.70;0.02;0.00;96.53
axle;60;1416296581;6;3.20;0.00;7.79;0.00;0.00;89.01
axle;60;1416296581;7;5.92;0.00;12.13;0.00;0.00;81.95
axle;60;1416296581;8;2.36;0.00;8.11;0.45;0.00;89.08
axle;60;1416296581;9;11.81;0.00;11.94;0.02;0.00;76.24
axle;60;1416296581;10;43.26;0.00;10.32;0.00;0.00;46.42
axle;60;1416296581;11;1.53;0.00;1.58;0.00;0.00;96.88
axle;60;1416296581;12;0.40;0.00;0.68;0.00;0.00;98.92
axle;60;1416296581;13;0.20;0.00;0.63;0.00;0.00;99.17
axle;60;1416296581;14;0.38;0.00;0.53;0.75;0.00;98.33
axle;60;1416296581;15;10.24;0.00;1.23;0.48;0.00;88.04
axle;61;1416296641;-1;6.92;0.00;5.66;0.00;0.00;87.41
axle;61;1416296641;0;6.94;0.00;23.20;0.02;0.00;69.84
axle;61;1416296641;1;10.35;0.00;15.79;0.02;0.00;73.84
axle;61;1416296641;2;2.28;0.00;4.03;0.00;0.00;93.69
axle;61;1416296641;3;1.84;0.00;5.82;0.00;0.00;92.34
axle;61;1416296641;4;2.05;0.00;3.20;0.00;0.00;94.75
axle;61;1416296641;5;1.69;0.00;4.94;0.00;0.00;93.37
axle;61;1416296641;6;2.09;0.00;2.65;0.00;0.00;95.26
axle;61;1416296641;7;1.37;0.00;4.64;0.00;0.00;93.99
axle;61;1416296641;8;2.31;0.00;8.72;0.02;0.00;88.95
axle;61;1416296641;9;1.53;0.00;3.57;0.00;0.00;94.90
axle;61;1416296641;10;76.93;0.00;11.38;0.00;0.00;11.68
axle;61;1416296641;11;0.33;0.00;0.55;0.00;0.00;99.12
axle;61;1416296641;12;0.15;0.00;0.30;0.00;0.00;99.55
axle;61;1416296641;13;0.18;0.00;0.28;0.00;0.00;99.53
axle;61;1416296641;14;0.23;0.00;0.62;0.00;0.00;99.15
axle;61;1416296641;15;0.27;0.00;0.70;0.00;0.00;99.03
axle;60;1416296701;-1;5.32;0.00;7.68;0.01;0.00;86.99
axle;60;1416296701;0;6.58;0.00;22.91;0.07;0.00;70.44
axle;60;1416296701;1;8.68;0.00;14.86;0.00;0.00;76.46
axle;60;1416296701;2;2.37;0.00;4.77;0.00;0.00;92.87
